# epoch | BaseLoss | ValLoss | Acc@1 | MeanWBits | MeanABits | MaxWBits | MaxABits | LR | EpochTime(s)
   229 | base=0.849474 | val=0.686067 | acc1=0.7787 | Wμ=0.996 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=5.4582e-05 | t=9.10s
   231 | base=0.891968 | val=0.618832 | acc1=0.7998 | Wμ=0.996 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.6974e-05 | t=8.98s
   233 | base=0.865484 | val=0.546181 | acc1=0.8167 | Wμ=0.996 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.0426e-05 | t=9.06s
   235 | base=0.871863 | val=0.626916 | acc1=0.7947 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.4791e-05 | t=9.01s
   237 | base=0.851344 | val=0.683177 | acc1=0.7751 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.9942e-05 | t=9.00s
   239 | base=0.911356 | val=0.553339 | acc1=0.8202 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.5768e-05 | t=9.09s
   241 | base=0.884800 | val=0.549247 | acc1=0.8164 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.2176e-05 | t=9.10s
   243 | base=0.921317 | val=0.845556 | acc1=0.7321 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.9085e-05 | t=9.02s
   245 | base=0.905142 | val=0.524121 | acc1=0.8273 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.6425e-05 | t=9.05s
   247 | base=0.926702 | val=0.617664 | acc1=0.7997 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.4135e-05 | t=8.96s
   249 | base=0.857114 | val=0.588754 | acc1=0.8115 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.2165e-05 | t=8.98s
   251 | base=1.004328 | val=0.536244 | acc1=0.8227 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.0469e-05 | t=9.09s
   253 | base=0.848822 | val=0.656151 | acc1=0.7953 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=9.0101e-06 | t=9.03s
   255 | base=0.898935 | val=0.606801 | acc1=0.8015 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=7.7542e-06 | t=9.02s
   257 | base=0.978558 | val=0.519361 | acc1=0.8305 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=6.6734e-06 | t=9.06s
   259 | base=0.901322 | val=0.568685 | acc1=0.8201 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=5.7432e-06 | t=8.94s
   261 | base=0.870787 | val=0.543538 | acc1=0.8216 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.9426e-06 | t=9.03s
   263 | base=0.904150 | val=0.927685 | acc1=0.7102 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=4.2537e-06 | t=9.02s
   265 | base=0.877899 | val=0.574641 | acc1=0.8131 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.6608e-06 | t=9.07s
   267 | base=0.987527 | val=0.732165 | acc1=0.7700 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=3.1505e-06 | t=8.96s
   269 | base=0.855686 | val=0.532497 | acc1=0.8228 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.7114e-06 | t=9.09s
   271 | base=0.888772 | val=0.574561 | acc1=0.8137 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.3334e-06 | t=8.94s
   273 | base=0.803552 | val=0.572927 | acc1=0.8137 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=2.0082e-06 | t=8.96s
   275 | base=0.795604 | val=0.576315 | acc1=0.8142 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.7283e-06 | t=9.03s
   277 | base=0.884887 | val=0.530610 | acc1=0.8241 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.4874e-06 | t=9.04s
   279 | base=0.850377 | val=0.480854 | acc1=0.8418 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.28e-06 | t=8.97s
   281 | base=0.862206 | val=0.554337 | acc1=0.8163 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=1.1016e-06 | t=8.95s
   283 | base=0.887480 | val=0.498173 | acc1=0.8402 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=9.4806e-07 | t=9.08s
   285 | base=0.904701 | val=0.523992 | acc1=0.8310 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=8.1591e-07 | t=8.97s
   287 | base=0.917179 | val=0.504043 | acc1=0.8315 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=7.0218e-07 | t=9.03s
   289 | base=0.934177 | val=0.692750 | acc1=0.7701 | Wμ=0.997 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=6.043e-07 | t=9.04s
